openalex_id,level,parent_3,parent_2,parent_1,display_name,journals_count
C19694890,2,,Physics,Nuclear physics,Hadron,2
C550607084,2,,Philosophy,Linguistics,Language contact,2
C195766429,2,,Physics,Optics,Metrology,2
C173145845,2,,Geography,Archaeology,Refugee,2
C20556612,2,,Physics,Quantum mechanics,Volume (thermodynamics),2
C100609095,2,,Computer science,Artificial intelligence,Embodied cognition,2
C31174226,2,,Medicine,Anesthesia,Perioperative,2
C3018378255,2,,Geology,Oceanography,The arctic,2
C26022165,2,,Philosophy,Linguistics,Grammar,2
C2780014101,2,,Biology,Immunology,Blood transfusion,2
C2777278459,2,,Biology,Botany,Essential oil,2
C168056786,2,,Geography,Archaeology,Asphalt,2
C83864248,2,,Biology,Ecology,Developing country,2
C136197465,2,,Computer science,Artificial intelligence,Variety (cybernetics),2
C81860439,2,,Computer science,Computer security,Internet of Things,2
C1491633281,2,,Biology,Biochemistry,Cell,2
C2780074459,2,,Medicine,Cardiology,Heart disease,2
C2780560020,2,,Political science,Law,License,2
C544519230,2,,Medicine,Radiology,Computed tomography,2
C46610780,2,,Philosophy,Linguistics,Hinduism,2
C138171918,2,,Engineering,Automotive engineering,Diesel fuel,2
C559116025,2,,Biology,Ecology,Air pollution,2
C179335157,2,,Geography,Archaeology,Maya,2
C44249647,2,,Medicine,Internal medicine,Confidence interval,2
C2780252984,2,,Biology,Ecology,Gastropoda,2
C76509639,2,,Biology,Botany,Race (biology),2
C532629269,2,,Computer science,Artificial intelligence,Corpus linguistics,2
C2780385504,2,,Medicine,Dentistry,Periodontitis,2
C19474535,2,,Materials science,Composite material,Welding,2
C105306849,2,,Geography,Meteorology,Storm,1
C175309249,2,,Engineering,Environmental engineering,Pipeline transport,1
C194232370,2,,Physics,Optics,Optical fiber,1
C121934690,2,,Computer science,Artificial intelligence,Noun,1
C2777236700,2,,Biology,Anatomy,Tibia,1
C10899652,2,,Physics,Mechanics,Convection,1
C73329638,2,,Physics,Astronomy,Sky,1
C102993220,2,,Computer science,Artificial intelligence,Description logic,1
C2779615782,2,,Philosophy,Epistemology,Philosophy for Children,1
C2780269544,2,,Biology,Genetics,Wound healing,1
